track_name,artists,album_name,duration_minutes,valence,energy,tempo,popularity,My_Rating,Vibe_Category
You've Done Enough,Gorgon City;DRAMA,Olympia,3.548216666666667,0.519,0.782,125.057,61,,Chill/Casual
LEFT TO RIGHT,Odd Mob,LEFT TO RIGHT,2.4375,0.217,0.959,128.018,51,,Chill/Casual
Pumped Up - Ryan Riback Remix,Klingande;Ryan Riback,Pumped Up (Ryan Riback Remix),3.0,0.264,0.541,119.041,47,,Chill/Casual
Carnaval de Paris,CID,Carnaval de Paris,3.2519666666666667,0.0717,0.558,127.026,51,,Chill/Casual
Alright,Junerule;Weisser Quiff,Alright,2.4918,0.0961,0.475,122.114,58,,Chill/Casual
Reminiscing,Nora En Pure,Reminiscing,4.308933333333333,0.0383,0.848,123.063,51,,Chill/Casual
Zorro,JADED;Carlita,Zorro,3.61635,0.662,0.881,125.019,58,,Party Anthem
C3PO,Adana Twins,Picture: Adana Twins,7.647266666666667,0.039,0.932,123.999,33,,Chill/Casual
Oblivion,Nora En Pure,Thermal / Oblivion,3.824,0.117,0.927,125.009,50,,Chill/Casual
Pieces,Refeci;Michel Fannoun,Pieces,3.0,0.0716,0.57,128.045,54,,Chill/Casual
Salvation,Maur;Goodboys,Salvation,3.122,0.272,0.868,125.045,57,,Chill/Casual
The Great Unknown,Shavi,The Great Unknown,3.4909,0.418,0.762,110.066,42,,Chill/Casual
Losing My Religion,Koni;Devan;Tom Bailey,Losing My Religion,4.507,0.141,0.745,122.98,43,,Chill/Casual
Tulum,Deep Chills,Tulum,2.233416666666667,0.686,0.68,119.978,58,,Party Anthem
Where Are You,Refeci;Michel Fannoun;Colone,Where Are You,3.0686166666666668,0.243,0.643,101.988,51,,Chill/Casual
Leave Me,Furkan Sert;Müslüm Arı,Leave Me,4.316666666666666,0.0688,0.672,120.026,45,,Chill/Casual
Can You Pay?,Paul Woolford;Pessto,Can You Pay?,2.2262166666666667,0.302,0.85,124.953,60,,Chill/Casual
Singularity,Stephan Bodzin,Powers of Ten,7.021766666666666,0.0379,0.486,121.0,50,,Chill/Casual
There For You,Refeci;Lucas Marx,There For You,2.8804333333333334,0.1,0.575,99.95,47,,Chill/Casual
Another Dream,Furkan Sert,Another Dream,3.0574666666666666,0.238,0.345,110.01,43,,Sad/Moody
Wake Up! (feat. Kaleta),Purple Disco Machine;Bosq;Kaleta,Wake Up! (feat. Kaleta),3.8790833333333334,0.877,0.85,122.04,63,,Party Anthem
You & I - Emily Nash Remix,Navos;HARLEE;Emily Nash,You & I (Emily Nash Remix),2.8709666666666664,0.648,0.871,123.989,59,,Party Anthem
Music Sounds Better with You,Alle Farben;Keanu Silva,Music Sounds Better with You,2.169583333333333,0.49,0.912,126.045,60,,Chill/Casual
Devon - Oliver Huntemann Remix,Oliver Schories;Oliver Huntemann,Devon (Oliver Huntemann Remix),6.6378,0.249,0.777,127.008,49,,Chill/Casual
Stay in Love - Dance Radio Mix,Mon A Q,Stay in Love,4.906883333333333,0.556,0.715,129.987,32,,Chill/Casual
Bozza,Oscar Mbo;C-Blak;Besta Evo,Groovy Since 90 Sumthin',6.337716666666667,0.44,0.47,119.071,32,,Chill/Casual
Tell Me Are We,Rampa;WhoMadeWho,They Will EP,6.888566666666667,0.1,0.863,121.995,50,,Chill/Casual
Where I Want 2 B,CID,Where I Want 2 B,3.3651333333333335,0.824,0.885,126.017,59,,Party Anthem
Looking For Me,Paul Woolford;Diplo;Kareen Lomax,Do You Dance?,3.5242,0.449,0.529,121.027,62,,Chill/Casual
Blinding Lights,Lucas Estrada;Twan Ray,Blinding Lights,2.18165,0.479,0.802,98.008,51,,Chill/Casual
Apollo 11,Matador;ARTBAT,Apollo 11,7.7441,0.0383,0.652,125.008,46,,Chill/Casual
You & I,Navos;HARLEE,You & I,2.80335,0.659,0.909,123.911,59,,Party Anthem
Aquatic,Nora En Pure,Aquatic,3.7704833333333334,0.0847,0.93,122.007,53,,Chill/Casual
Down Low,Dombresky;Ricky Ducati;Donnie Sloan,Down Low,2.6841333333333335,0.762,0.805,122.017,59,,Party Anthem
Freewheelin',Jack Wins;Caitlyn Scarlett,Freewheelin',3.5329,0.268,0.822,125.056,41,,Chill/Casual
Memories,Cupido,Memories,2.776683333333333,0.314,0.58,102.976,40,,Chill/Casual
Latching Onto You,Tensnake;Nazzereene,L.A.,3.1162833333333335,0.538,0.797,97.964,51,,Chill/Casual
Your Body,LU2VYK;Janethan,Your Body,2.141966666666667,0.734,0.812,124.058,53,,Party Anthem
All I Ever Wanted,Adriatique;Marino Canal,All I Ever Wanted,6.537333333333334,0.365,0.63,123.021,46,,Chill/Casual
Blinded,Deep Chills;Emma Carn,Blinded,3.3457,0.277,0.57,124.98,48,,Chill/Casual
Contact,Lulleaux;Giang Pham,Contact,2.3645833333333335,0.673,0.76,96.204,53,,Party Anthem
I Don't Wanna Know,Silience,I Don't Wanna Know,3.0087,0.552,0.729,119.994,53,,Chill/Casual
Stumble,Kraak & Smaak;Parcels,Juicy Fruit,4.512,0.217,0.549,91.036,60,,Chill/Casual
I Can't Be - Drop-G & Regard Remix,Hakan Akkus;Drop-G & Regard,Ibiza Kickoff,6.100516666666667,0.388,0.676,119.991,43,,Chill/Casual
Nice to Meet You,andhim,Nice to Meet You,6.224783333333333,0.0384,0.935,123.997,49,,Chill/Casual
Do It For Love,LYOD;The Bayton Fields,Do It For Love,3.02655,0.434,0.609,96.019,52,,Chill/Casual
Palmtree,Mandelbarth,Palmtree,3.0078,0.602,0.778,116.925,55,,Party Anthem
EDM,Carta,EDM,2.273433333333333,0.441,0.941,127.966,52,,Chill/Casual
Tears In Your Eyes,Nora En Pure,Tears In Your Eyes,3.5854166666666667,0.353,0.773,119.984,54,,Chill/Casual
For You,Planetopia,For You,2.8076833333333333,0.388,0.56,104.013,56,,Chill/Casual
RIVA (Restart The Game) - Radio Edit,Klingande;Broken Back,The Album,3.01435,0.54,0.738,124.022,50,,Chill/Casual
Falling In Love,Planetopia,Falling In Love,2.6292666666666666,0.468,0.534,116.022,57,,Chill/Casual
Closing In (feat. Calum Venice),Ludomir;Calum Venice,Closing In,3.2809666666666666,0.194,0.647,99.978,47,,Chill/Casual
Strangers (TWOPILOTS Remix),FDVM;TWOPILOTS,Strangers (TWOPILOTS Remix),2.8545333333333334,0.77,0.904,110.056,46,,Party Anthem
Strangers (with Mansionair) - Nora En Pure Remix,Dom Dolla;Mansionair;Nora En Pure,Strangers (with Mansionair) [Nora En Pure Remix],3.182916666666667,0.174,0.941,126.01,50,,Chill/Casual
Same Old Road,Jan Blomqvist,Carry On,3.1624166666666667,0.135,0.678,123.025,39,,Chill/Casual
Miracle In The Middle Of My Heart - Original Mix,BCX,Miracle In The Middle Of My Heart,4.24285,0.242,0.699,114.978,41,,Chill/Casual
Free Falling Love,Lucas Estrada;Stevie Appleton;Solar State,Free Falling Love,2.5833333333333335,0.139,0.932,120.012,55,,Chill/Casual
Hey There Delilah,Viva La Panda;FDVM,Hey There Delilah,2.5185166666666667,0.347,0.547,107.941,59,,Chill/Casual
Silenced - Argy Remix,CamelPhat;Jem Cooke;Argy,Silenced (Argy Remix),5.49,0.48,0.711,124.988,44,,Chill/Casual
Saving Grace,DRYM;GXD;Christina Novelli,Saving Grace,3.6521666666666666,0.071,0.957,137.88,48,,Chill/Casual
Crave The Bassline,AC Slater;Curbi,Crave The Bassline,2.7827,0.712,0.984,127.988,55,,Party Anthem
Drop The Pressure,Claptone;Mylo,Drop The Pressure,3.0165,0.252,0.869,124.003,57,,Chill/Casual
You Need Me (feat. Maxine Ashley & Sun-El Musician),Black Coffee;Maxine Ashley;Sun-El Musician,Subconsciously,6.2652833333333335,0.246,0.811,117.988,52,,Chill/Casual
Paradise,Viva La Panda;Swizznife;Friends & I,Paradise,3.0953333333333335,0.443,0.756,117.98,50,,Chill/Casual
California Dreamin' (feat. High Jinx) (LP Giobbi Remix),Chris Lorenzo;LP Giobbi;High Jinx,California Dreamin',2.4126833333333333,0.631,0.966,126.001,57,,Party Anthem
Solitary Daze - Radio Edit,Maceo Plex;Gabriel Ananda,"Armada Deep House Selection, Vol. 6 (The Finest Deep House Tunes)",3.84,0.331,0.841,125.003,53,,Chill/Casual
More Than I Can Say,GAMPER & DADONI;D.T.E,More Than I Can Say,2.5532833333333333,0.263,0.807,127.991,64,,Chill/Casual
Ready For Love,Boehm;PRINSH;Brittney Bouchard,Ready For Love,2.88,0.412,0.649,125.021,31,,Chill/Casual
Darlin,Knee Deep,Big Love EP,6.234383333333334,0.786,0.744,126.016,31,,Party Anthem
Tell You,Nhan Solo,"Cala Bassa Beach Club Ibiza, Vol. 2 (Compiled by DJ Zappi)",6.143533333333333,0.23,0.751,118.0,31,,Chill/Casual
Drop It,Saison,Toolroom Amsterdam 2022,3.208,0.14,0.962,125.0,4,,Chill/Casual
Nobody,Gorgon City;DRAMA,Olympia,3.316883333333333,0.265,0.664,120.041,59,,Chill/Casual
Supersonic (VIP),Noisia;Skrillex;josh pan;Dylan Brady,Horizon (with Noisia),3.4335,0.0613,0.506,172.028,48,,Chill/Casual
Sugar (feat. Francesco Yates),Robin Schulz;Francesco Yates,Sugar (feat. Francesco Yates),3.650716666666667,0.636,0.815,123.063,55,,Party Anthem
6 Days,Mahmut Orhan;Colonel Bagshot,6 Days,4.34265,0.348,0.711,104.996,29,,Chill/Casual
I Wanna - Tchami Remix,Shiba San;Tchami,I Wanna (Tchami Remix),3.59055,0.624,0.783,127.002,52,,Party Anthem
Sorry,TCTS;Nonô,Sorry,2.710733333333333,0.553,0.726,121.002,52,,Chill/Casual
In My Fantasy,Lucas Estrada;NEIMY;Henri Purnell,In My Fantasy,2.8632,0.562,0.545,120.023,44,,Chill/Casual
OoooH,CID;WILL K,OoooH,3.36695,0.608,0.972,126.001,55,,Party Anthem
Sad Songs (feat. L Devine),Route 94;L Devine,Sad Songs (feat. L Devine),3.1935333333333333,0.632,0.816,123.986,51,,Party Anthem
Küçük Bir Yol,Hadise,Küçük Bir Yol,4.678983333333333,0.417,0.658,112.014,69,,Chill/Casual
Sing for You - Radio Mix,Umut Dogan,Sing for You,3.1304333333333334,0.564,0.527,115.018,32,,Chill/Casual
Fibonacci,Nora En Pure,Fibonacci,3.141383333333333,0.065,0.781,122.015,51,,Chill/Casual
Alane,Robin Schulz;Wes,Alane,2.916933333333333,0.662,0.799,124.002,59,,Party Anthem
Temptation (feat. Poppy Baskcomb),Jess Bays;Poppy Baskcomb,Temptation (feat. Poppy Baskcomb),2.86995,0.819,0.703,125.023,63,,Party Anthem
Drift,Syn Cole,Drift,2.7419333333333333,0.705,0.801,124.037,55,,Party Anthem
So Good to Me - Radio Edit,Chris Malinchak,So Good To Me (Remixes),2.644616666666667,0.416,0.465,120.988,56,,Chill/Casual
High On You,Sebastien;Hagedorn,High On You,2.6,0.419,0.549,120.05,42,,Chill/Casual
Let You Go,Vall;Loé,Let You Go,2.6595166666666668,0.552,0.635,116.004,55,,Chill/Casual
Coming Home,Furkan Sert;KARNASER,Coming Home,3.5728,0.0772,0.602,99.838,39,,Chill/Casual
Dancing In The Moonlight,Aexcit;HILLArious,Dancing In The Moonlight,2.7842333333333333,0.717,0.796,121.916,62,,Party Anthem
Far Behind,Oleska;Otter Berry,Far Behind,3.5030666666666668,0.17,0.704,122.975,46,,Chill/Casual
Let Me Love You (feat. Chris Crone),SJUR;Chris Crone,Let Me Love You (feat. Chris Crone),3.4814333333333334,0.557,0.83,105.058,53,,Chill/Casual
What You Want,Ilkay Sencan,What You Want,2.7079166666666667,0.868,0.932,124.032,42,,Party Anthem
Turn Me On,Black Coffee,Turn Me On / Come To Me,7.4291,0.569,0.784,123.007,55,,Chill/Casual
Change My Mind,Just Kiddin,Change My Mind,2.6983333333333333,0.541,0.859,120.98,49,,Chill/Casual
Wait For You,Namic;Tim d'Aboville,Wait For You,2.9924666666666666,0.131,0.453,114.906,54,,Chill/Casual
All This,Jay Pryor,All This,3.1282,0.503,0.955,126.002,64,,Chill/Casual
Time of Your Life,Lucas Estrada;Moonshine;Stevie Appleton,Time of Your Life,2.7987166666666665,0.556,0.63,118.974,53,,Chill/Casual
Feel Alive,Roman Müller;Matt Wills;The Small Things,Feel Alive,3.2404166666666665,0.455,0.661,99.987,51,,Chill/Casual
Be My One,Sonny Fodera;KOLIDESCOPES;Hayley May,Wide Awake (Deluxe),2.3722333333333334,0.659,0.906,120.94,59,,Party Anthem
Strangers (with Mansionair),Dom Dolla;Mansionair,Strangers (with Mansionair),3.6231666666666666,0.427,0.891,126.022,55,,Chill/Casual
Bad Ideas,Alle Farben,Music Is My Best Friend,2.7702166666666668,0.678,0.71,120.005,54,,Party Anthem
Our Broken Mind Embassy,Jan Blomqvist,Disconnected,4.4441,0.458,0.674,122.015,49,,Chill/Casual
That Feeling,Biscits;Karen Harding,Without U,2.7772166666666664,0.839,0.83,125.979,58,,Party Anthem
Celestial,Nora Van Elken,Celestial,2.769216666666667,0.0362,0.582,118.02,58,,Chill/Casual
On My Mind,Fini;Keanna Mag,On My Mind,2.15,0.419,0.622,99.96,55,,Chill/Casual
Coma Cat - Purple Disco Machine Re-Work,Tensnake;Purple Disco Machine,Coma Cat (Purple Disco Machine Re-Work),3.4757333333333333,0.756,0.978,122.017,59,,Party Anthem
My Paradise,Jamie Jones,My Paradise,3.51715,0.887,0.74,128.012,59,,Party Anthem
Space Raiders - Charlotte de Witte Remix,Eats Everything;Charlotte de Witte,Space Raiders (Charlotte de Witte Remix),7.312,0.0598,0.731,131.997,54,,Chill/Casual
Good Life feat. Henri PFR,FDVM;Henri PFR,Good Life feat. Henri PFR,2.2791333333333332,0.632,0.785,108.01,43,,Party Anthem
Hooked,Kav Verhouzer;Madism;imallryt,Hooked,2.7868833333333334,0.404,0.767,122.017,53,,Chill/Casual
I Feel It - Paul Woolford Extended Remix,Leftwing : Kody;Paul Woolford,I Feel It (Paul Woolford Remix),6.15315,0.549,0.885,125.984,30,,Chill/Casual
Sweet Memories - Genairo Nvilla Remix,CID;Kaskade;Genairo Nvilla,Sweet Memories (Remixes),4.661566666666666,0.0899,0.958,127.039,31,,Chill/Casual
Annihilation,Tough Love,Toolroom Amsterdam 2022,2.903216666666667,0.34,0.798,124.01,4,,Chill/Casual
Şampiyon - Gürcell Remix,Hadise,Şampiyon,3.70925,0.593,0.604,124.982,31,,Chill/Casual
It's Yours (feat. E-Man) - Distant Music Mix,Jon Cutler;E-Man,It's Yours,7.137566666666666,0.671,0.842,126.004,30,,Party Anthem
Muyè,Rampa;Adam Port;&ME,You Are Safe,7.83325,0.0376,0.474,120.01,52,,Chill/Casual
High On Beat,Jan Blomqvist;Bloom Twins,High On Beat,3.43705,0.251,0.825,110.009,48,,Chill/Casual
Santa Monica,offrami;Hoosh,Santa Monica,2.774766666666667,0.675,0.543,111.043,36,,Chill/Casual
Days Go By,Y.V.E. 48,Days Go By,2.6607,0.199,0.492,111.99,51,,Chill/Casual
Like You Do,D.O.D;Raphaella,Like You Do,2.5370666666666666,0.49,0.847,124.015,58,,Chill/Casual
No Eyes,Claptone;JAW,Charmer,4.0445166666666665,0.541,0.388,120.027,59,,Chill/Casual
Losing U,Klingande;Daylight,The Album,3.6169166666666666,0.224,0.675,122.009,40,,Chill/Casual
I Don't Wanna Run,D.O.D;RIELL,I Don't Wanna Run,3.1216833333333334,0.275,0.801,124.975,53,,Chill/Casual
Woza Moya,Artwork Sounds;CocoSA;Russell Zuma,Woza Moya,6.7857,0.427,0.861,111.997,30,,Chill/Casual
Out of My Head,Jack Wins;ManyFew,Out of My Head,2.706366666666667,0.189,0.946,123.995,57,,Chill/Casual
Skyline,MÖWE,Skyline,2.73245,0.628,0.87,117.96,56,,Party Anthem
Easy,Autograf;Papa Ya,The Ace Of You,2.75605,0.801,0.796,125.028,50,,Party Anthem
Run Free,Deep Chills;IVIE,"Tropical House, Vol. 2",2.8427,0.696,0.688,100.002,25,,Party Anthem
Fly Above - Mert Oksuz Remix,Mahmut Orhan;Sena Şener;Mert Oksuz,Fly Above (Mert Oksuz Remix),3.34485,0.462,0.843,99.962,38,,Chill/Casual
On My Mind,EDX,On My Mind,2.373,0.509,0.564,126.011,51,,Chill/Casual
Love Me Better (feat. Leah Guest),Jess Bays;Leah Guest,Love Me Better (feat. Leah Guest),3.337466666666667,0.495,0.765,124.957,57,,Chill/Casual
Lost In Amsterdam (feat. Eskeemo),MÖWE;Jonasu;Eskeemo,Lost In Amsterdam (feat. Eskeemo),2.41355,0.755,0.675,116.971,52,,Party Anthem
High Hopes,Lucas Estrada;Twan Ray;Solar State,High Hopes,2.1170166666666668,0.299,0.537,93.996,55,,Chill/Casual
Your Body,DLMT;Famba;Kyra Mastro,Your Body,2.752,0.743,0.902,125.004,55,,Party Anthem
Closer (feat. Lilly Ahlberg),Sonny Fodera;Just Kiddin;Lilly Ahlberg,Closer (feat. Lilly Ahlberg),2.8316833333333333,0.68,0.782,124.969,56,,Party Anthem
Saving My Love,Chris Malinchak,Saving My Love,4.877783333333333,0.0908,0.518,118.014,59,,Chill/Casual
Rave,Sam Paganini,Satellite,6.76165,0.33,0.807,124.989,55,,Chill/Casual
Ready For Your Love,Gorgon City;MNEK,Sirens (Deluxe),3.3146666666666667,0.471,0.753,121.939,61,,Chill/Casual
Home - Mind Against Remix,Adriatique;Marino Canal;Delhia De France;Mind Against,Home (Mind Against Remix),7.294116666666667,0.0372,0.744,119.995,45,,Chill/Casual
Let's Go Home (Erlando Remix),Eklo;Erlando,Let's Go Home (Erlando Remix),4.0986,0.22,0.826,199.988,50,,Chill/Casual
Mount Fuji,Nora Van Elken,Mount Fuji,2.686533333333333,0.0616,0.781,113.988,58,,Chill/Casual
Eyes On You,HUGEL;Quarterhead,Eyes On You,3.37525,0.612,0.823,124.99,53,,Party Anthem
Deceiver,Chris Lake;Green Velvet,Deceiver,3.7647166666666667,0.966,0.883,124.016,57,,Party Anthem
Are You,Sons Of Maria,Are You,3.57365,0.071,0.877,111.988,58,,Chill/Casual
Still Down For You,Aexcit,Still Down For You,2.8607,0.673,0.591,139.745,45,,Chill/Casual
Sweet Dreams,Aexcit;INFINITY,Sweet Dreams,2.7246333333333332,0.215,0.779,121.977,56,,Chill/Casual
Skinny Dip (Komodo) [feat. Philip Strand],Deepend;Philip Strand,Skinny Dip (Komodo) [feat. Philip Strand],2.8657166666666667,0.604,0.793,121.065,56,,Party Anthem
Crossing Lines,GAMPER & DADONI;Aiaya,Crossing Lines,3.2651666666666666,0.348,0.621,150.03,44,,Chill/Casual
Astronaut In The Ocean,Boehm;Young Jae,Astronaut In The Ocean,2.9563333333333333,0.549,0.728,126.024,42,,Chill/Casual
My Lovin',GAMPER & DADONI,My Lovin',2.500383333333333,0.8,0.77,124.005,59,,Party Anthem
Lately,Jade Blue;Frequency,Lately,5.126766666666667,0.0387,0.686,126.014,29,,Chill/Casual
Without You,Embody;Jack Hawitt,Lost & Found EP,3.0,0.614,0.696,119.969,50,,Party Anthem
4 to the Floor (feat. Nikol Apatini),HUGEL;Stefy De Cicco;Hugo Cantarra;Nikol Apatini,4 to the Floor (feat. Nikol Apatini),2.9430833333333335,0.154,0.894,122.983,53,,Chill/Casual
Light Up My Life,Jack Wins;Joe Stone,Light Up My Life,2.4098333333333333,0.392,0.874,121.995,58,,Chill/Casual
Lola's Theme - Radio Edit,The Shapeshifters,Lola's Theme,3.4511,0.659,0.845,123.925,64,,Party Anthem
Safe,Monkey Safari,Love Will Set U Free,4.826716666666667,0.376,0.748,121.036,52,,Chill/Casual
Paradise,Goldbird,Paradise,2.8943,0.355,0.721,122.948,52,,Chill/Casual
Stand By Me,Toby Rose;Ben Hutcheson,Stand By Me,3.0318666666666667,0.382,0.684,118.009,59,,Chill/Casual
Used To,Hogland;EEVA,Used To,2.5446333333333335,0.48,0.661,120.041,51,,Chill/Casual
Telling Me Yes,Hogland,Telling Me Yes,2.5083333333333333,0.498,0.703,119.918,50,,Chill/Casual
Ready For You (feat. Celeste),Black Coffee;Celeste,Subconsciously,4.481433333333333,0.178,0.672,99.992,54,,Chill/Casual
Poison,Hot Since 82,Poison,3.4396333333333335,0.493,0.876,127.007,58,,Chill/Casual
I Enter - Original Mix,Secondcity;Tyler Rowe,dirtybird BBQ,4.7008,0.738,0.727,123.002,29,,Party Anthem
Perfect Stranger,Hogland;Mark Klaver,Perfect Stranger,2.5,0.547,0.649,126.029,55,,Chill/Casual
Fading,Alle Farben;ILIRA,Sticker on My Suitcase,3.43955,0.674,0.762,122.065,53,,Party Anthem
Shades,Tchami;Donnie Sloan;Ricky Ducati,Aurra / Shades,3.6333333333333333,0.173,0.748,120.021,54,,Chill/Casual
Burning - Snakehips Remix,Gorgon City;EVAN GIIA;Snakehips,Olympia (Remixes),2.9846666666666666,0.466,0.876,123.899,56,,Chill/Casual
Real for Me,Alex Adair,Real for Me,3.0035,0.553,0.679,120.031,56,,Chill/Casual
Minute,No Way Back;Sophia Black,Minute,3.66875,0.396,0.721,103.03,38,,Chill/Casual
More Than Friends,James Hype;Kelli-Leigh,More Than Friends,2.3449666666666666,0.447,0.885,122.985,62,,Chill/Casual
Strut,Kyle Walker,Strut,2.6777333333333333,0.742,0.826,127.002,56,,Party Anthem
İstersen,Buray,1 Şişe Aşk,3.73955,0.687,0.671,121.942,52,,Party Anthem
Gunny,Dale Howard,Gunny,3.344133333333333,0.54,0.922,125.021,57,,Chill/Casual
Way It Is,Mr. Belt & Wezol;RSCL,Way It Is,3.2150833333333333,0.457,0.69,123.997,58,,Chill/Casual
You Tell Me,Melih Aydogan,You Tell Me,4.867533333333333,0.595,0.659,120.026,50,,Chill/Casual
Your Body,Biscits,Your Body,3.45,0.917,0.744,126.987,62,,Party Anthem
I Found You (Neptune),EDX;Jess Ball,I Found You (Neptune),2.645583333333333,0.893,0.917,124.023,44,,Party Anthem
Don't Let Me Go - Frost-X-Mritz Remix,Koni;Tom Bailey;Ane;Frost-X-Mritz,Don't Let Me Go (Frost-X-Mritz Remix),3.1732,0.23,0.642,113.999,18,,Chill/Casual
Take Care,BCX,Take Care,3.1966,0.577,0.637,120.039,51,,Chill/Casual
Ain't Got No,David Penn;KPD,Ain't Got No,3.317066666666667,0.532,0.85,122.997,59,,Chill/Casual
One Night,Sander W.;Tudor,One Night,2.6165166666666666,0.426,0.65,118.003,54,,Chill/Casual
Roar - Adana Twins Remix,Patrice Bäumel;Adana Twins,Roar (Adana Twins Remix),8.226333333333333,0.0407,0.871,123.01,45,,Chill/Casual
Save Me (feat. Eneli),Mahmut Orhan;Eneli,Save Me (feat. Eneli),2.8615,0.695,0.78,123.994,44,,Party Anthem
Mecnun,Buray,Sahiden,3.3378666666666668,0.85,0.687,93.012,51,,Party Anthem
Get This Party Started,Westend,Get This Party Started,2.6666666666666665,0.678,0.748,126.076,57,,Party Anthem
Oh Child,Robin Schulz,Uncovered,3.2937666666666665,0.683,0.598,97.037,49,,Chill/Casual
Devil in Me,Purple Disco Machine;Joe Killington;Duane Harden,Soulmatic,3.318583333333333,0.619,0.674,119.956,52,,Party Anthem
Nabia,Be Svendsen,Nabia,8.952733333333333,0.199,0.778,110.003,47,,Chill/Casual
Music In You,Sebastien;Boy Tedson,Music In You,3.08825,0.44,0.659,117.016,54,,Chill/Casual
Do You Hear Me,Ilkan Gunuc;Osman Altun,Do You Hear Me,3.066666666666667,0.383,0.662,130.048,36,,Chill/Casual
Nothing On Us,The Him,Nothing On Us,2.692,0.489,0.733,125.029,47,,Chill/Casual
My Darling,Junerule;AUGUSTKID,My Darling,2.903216666666667,0.202,0.501,124.004,55,,Chill/Casual
After Hours,M-22;Kiara Nelson,After Hours,2.7495833333333333,0.68,0.84,123.974,55,,Party Anthem
For a Feeling (feat. RHODES) - Layton Giordani Remix,CamelPhat;ARTBAT;RHODES;Layton Giordani,For a Feeling (feat. RHODES) [Layton Giordani Remix],8.0703,0.0389,0.831,127.999,44,,Chill/Casual
In My Arms,Purple Disco Machine,In My Arms,3.4166666666666665,0.922,0.792,120.004,50,,Party Anthem
Snow (Hey Oh),Goldbird;Offmind,Snow (Hey Oh),2.737016666666667,0.736,0.714,113.917,59,,Party Anthem
Morenita - Matroda Remix,HUGEL;Cumbiafrica;Matroda,Morenita (Matroda Remix),2.9841166666666665,0.626,0.903,126.088,56,,Party Anthem
Liberation,Harold van Lennep,Liberation,3.6398166666666665,0.546,0.705,99.953,56,,Chill/Casual
Tengo ganas de ti,HUGEL;Damien N-Drix,Tengo ganas de ti,3.648,0.0856,0.864,124.987,47,,Chill/Casual
Holy,Hogland;Charlie South,Holy,3.589166666666667,0.377,0.807,107.028,51,,Chill/Casual
Make You Feel Like,Junge Junge;Redward Martin,Make You Feel Like,3.1228666666666665,0.35,0.635,117.995,58,,Chill/Casual
Satellites,Nora Van Elken,Satellites,2.5788333333333333,0.392,0.851,121.001,41,,Chill/Casual
Bring You Back - Edit,Peer Kusiv;Johanson,Bring You Back,3.3112666666666666,0.178,0.732,123.019,47,,Chill/Casual
Most Really Pretty Girls Have Pretty Ugly Feet,HNNY,If This Is House I Want My Money Back 3,4.757333333333333,0.612,0.449,119.896,57,,Chill/Casual
Speechless (feat. Erika Sirola),Robin Schulz;Erika Sirola,IIII,3.58235,0.238,0.682,125.045,56,,Chill/Casual
Look Into My Eyes - Syn Cole Remix,Brando;Syn Cole,Look Into My Eyes,2.8571333333333335,0.83,0.831,126.047,54,,Party Anthem
So Free,Kokiri;Jem Cooke;Todd Terry,Workout 2021 - Motivation Mix,3.1029833333333334,0.889,0.871,124.016,29,,Party Anthem
Days Like This,Shaun Escoffery,Shaun Escoffery,4.503333333333333,0.567,0.822,108.022,29,,Chill/Casual
Silver Lining,Thomas Lizzara,Ahoi: Berlin,5.0324333333333335,0.702,0.737,121.981,29,,Party Anthem
It's You - Mousse T.'s Discotronic Mix,FCL;Mousse T.,Defected Presents House Masters - Mousse T.,6.673216666666667,0.547,0.732,123.003,28,,Chill/Casual
Groovy Since 90 Somethin,Oscar Mbo;C-Blak,Groovy Since 90 Sumthin',7.26855,0.377,0.797,120.0,30,,Chill/Casual
Illusion feat. Haexxa,Alfred Heinrichs;Haexxa,IAM ALFRED HEINRICHS feat. Haexxa,8.108033333333333,0.508,0.649,139.983,29,,Chill/Casual
There For You,Gorgon City;MK,There For You,3.108216666666667,0.712,0.844,123.971,56,,Party Anthem
On My Mind,Disciples,On My Mind,3.0974166666666667,0.733,0.893,122.056,58,,Party Anthem
Summer 91,Noizu,Summer 91,2.488,0.327,0.953,124.992,60,,Chill/Casual
Out of Love,Koni;AC15;Sam Knight,Out of Love,3.4312,0.549,0.771,98.037,33,,Chill/Casual
Move On,Deeperise;Jabbar,Move On,4.1237,0.319,0.502,97.04,50,,Chill/Casual
I Made You Do,Melih Aydogan;Ria,I Made You Do,2.690733333333333,0.734,0.703,122.035,46,,Party Anthem
Firefly,RÆVE,Firefly,3.4833333333333334,0.43,0.836,104.876,36,,Chill/Casual
My Mind,Ali Bakgor,My Mind,3.5108333333333333,0.105,0.825,121.947,41,,Chill/Casual
Hold On,Ali Bakgor;biskuwi;widerberg,Hold On,3.0574166666666667,0.0798,0.859,123.009,41,,Chill/Casual
Toluca Lake - Imad Remix,Tep No;Imad,Toluca Lake (Imad Remix),3.0000833333333334,0.176,0.667,120.045,52,,Chill/Casual
Moments,Shavi;Sumix,Moments,3.39215,0.541,0.661,102.052,44,,Chill/Casual
This Feeling,Eden Prince;Alex Mills,This Feeling,3.2460166666666668,0.422,0.635,125.971,52,,Chill/Casual
Nobody Knows (feat. WYNNE),Autograf;WYNNE,Nobody Knows (feat. WYNNE),3.5327333333333333,0.061,0.621,184.98,46,,Chill/Casual
Epikur - Original,DAVID AUGUST,Epikur EP,8.17875,0.142,0.598,117.989,48,,Chill/Casual
